unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Lancefieldella parvula;1.2;0.33;0.06;0.06;0.04;0.06;0.05;0.02;0.01;0.0;0.01;0.03;0.0;0.53;0.98;0.19;0.07;0.1;0.05;0.01;0.01;0.01;0.01;0.53;65.4;41.3;0.6;0.09;0.29;0.09;0.19;1.06;0.26;0.03;0.16;0.11;0.05;0.07;0.0;0.05;0.02;0.02;0.01;0.07;0.0;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;20.9;0.43;0.04;0.04;0.14;0.01;0.01;0.01;0.0;0.18;32.0;32.0;Found;0.0;0.0;0.0;0.0;0.0
Phocaeicola massiliensis;3.39;1.71;0.27;0.24;0.08;0.08;0.06;0.05;0.03;0.02;0.01;0.0;0.01;0.82;0.55;0.1;0.1;0.01;0.01;0.02;0.01;0.01;0.0;0.29;80.4;40.7;4.55;1.22;0.8;1.25;0.3;0.73;0.2;0.11;0.07;0.04;0.06;0.03;0.06;0.04;0.0;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.2;0.2;0.01;0.04;0.03;0.0;0.01;0.01;0.0;0.11;15.4;15.4;Found;0.0;0.0;0.0;0.0;0.0
Lactococcus lactis;5.97;2.09;0.52;0.38;0.28;0.37;0.3;0.08;0.11;0.03;0.05;0.04;0.09;1.63;3.08;0.76;0.23;0.21;0.06;0.03;0.05;0.08;0.01;1.64;56.9;22.7;5.61;0.31;0.86;0.44;0.85;0.77;0.12;0.06;0.08;0.18;0.43;0.1;0.08;0.22;0.09;0.08;0.08;0.05;0.14;0.0;0.02;0.02;0.06;0.0;0.0;0.01;0.12;0.04;0.02;0.0;0.0;23.4;2.02;0.14;0.32;0.06;0.05;0.11;0.09;0.03;1.22;32.0;32.0;Found;0.0;0.0;0.0;0.0;0.0
Lactococcus cremoris;5.97;2.09;0.52;0.38;0.28;0.37;0.3;0.08;0.11;0.03;0.05;0.04;0.09;1.63;3.08;0.76;0.23;0.21;0.06;0.03;0.05;0.08;0.01;1.64;56.9;22.7;5.61;0.31;0.86;0.44;0.85;0.77;0.12;0.06;0.08;0.18;0.43;0.1;0.08;0.22;0.09;0.08;0.08;0.05;0.14;0.0;0.02;0.02;0.06;0.0;0.0;0.01;0.12;0.04;0.02;0.0;0.0;23.4;2.02;0.14;0.32;0.06;0.05;0.11;0.09;0.03;1.22;32.0;32.0;Found;0.0;0.0;0.0;0.0;0.0
Lactobacillus hominis;1.74;0.36;0.14;0.09;0.15;0.17;0.12;0.05;0.03;0.0;0.03;0.01;0.01;0.57;1.93;0.39;0.12;0.18;0.06;0.03;0.03;0.02;0.0;1.11;70.6;9.73;18.4;2.42;6.89;0.85;3.33;0.54;0.07;0.18;0.11;0.8;0.2;0.06;0.04;0.01;0.01;0.14;0.02;0.18;0.01;0.01;0.0;0.0;0.01;0.0;0.0;0.0;0.04;0.0;0.0;0.0;0.0;26.6;0.67;0.1;0.1;0.03;0.04;0.01;0.01;0.01;0.37;25.0;25.0;Found;0.0;0.0;0.0;0.0;0.0
Gemmiger formicilis;1.51;0.78;0.07;0.03;0.06;0.05;0.04;0.01;0.01;0.03;0.01;0.0;0.0;0.41;0.71;0.23;0.08;0.06;0.03;0.0;0.01;0.0;0.0;0.3;82.9;46.9;1.22;0.15;4.12;0.08;1.24;0.48;0.04;0.27;0.06;0.83;0.04;0.01;0.01;0.01;0.01;0.02;0.01;0.17;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.2;0.19;0.01;0.03;0.02;0.0;0.01;0.0;0.0;0.12;14.7;14.7;Found;0.0;0.0;0.0;0.0;0.0
Subdoligranulum variabile;1.51;0.78;0.07;0.03;0.06;0.05;0.04;0.01;0.01;0.03;0.01;0.0;0.0;0.41;0.71;0.23;0.08;0.06;0.03;0.0;0.01;0.0;0.0;0.3;82.9;46.9;1.22;0.15;4.12;0.08;1.24;0.48;0.04;0.27;0.06;0.83;0.04;0.01;0.01;0.01;0.01;0.02;0.01;0.17;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.2;0.19;0.01;0.03;0.02;0.0;0.01;0.0;0.0;0.12;14.7;14.7;Found;0.0;0.0;0.0;0.0;0.0
Clostridium carnis;4.15;2.19;0.32;0.16;0.12;0.13;0.08;0.06;0.05;0.02;0.02;0.0;0.0;0.99;0.96;0.1;0.1;0.04;0.04;0.03;0.04;0.01;0.0;0.61;76.0;40.1;1.53;0.72;1.54;0.13;0.7;0.36;0.07;0.06;0.07;0.04;0.11;0.03;0.07;0.02;0.01;0.02;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;30.4;0.33;0.03;0.05;0.03;0.0;0.01;0.0;0.0;0.22;18.6;18.6;Found;0.0;0.0;0.0;0.0;0.0
Waltera intestinalis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Streptococcus gordonii;2.21;0.78;0.07;0.16;0.1;0.16;0.1;0.03;0.01;0.01;0.04;0.06;0.01;0.69;1.27;0.22;0.13;0.2;0.04;0.02;0.01;0.02;0.01;0.61;66.9;41.4;1.05;0.32;1.24;0.91;0.26;0.48;0.03;0.06;0.06;0.14;0.09;0.03;0.01;0.08;0.01;0.02;0.03;0.11;0.05;0.0;0.01;0.0;0.01;0.0;0.02;0.0;0.01;0.0;0.0;0.0;0.0;20.5;0.49;0.06;0.07;0.05;0.06;0.02;0.01;0.0;0.21;29.2;29.2;Found;0.0;0.0;0.0;0.0;0.0
Bifidobacterium breve;1.71;0.97;0.1;0.07;0.03;0.05;0.03;0.01;0.01;0.0;0.02;0.0;0.01;0.41;0.62;0.14;0.08;0.06;0.04;0.0;0.0;0.0;0.0;0.29;78.0;35.6;4.51;0.26;0.66;0.2;0.24;0.73;0.06;0.1;0.02;0.18;0.04;0.0;0.0;0.01;0.0;0.08;0.03;0.18;0.0;0.04;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;0.2;0.02;0.04;0.03;0.01;0.0;0.0;0.0;0.1;19.5;19.5;Found;0.0;0.0;0.0;0.0;0.0
Sutterella wadsworthensis;2.91;1.37;0.24;0.15;0.07;0.12;0.08;0.04;0.03;0.02;0.03;0.01;0.01;0.74;0.71;0.11;0.12;0.03;0.02;0.01;0.01;0.0;0.0;0.42;78.5;42.7;1.84;0.16;0.73;1.58;0.22;0.24;0.03;0.05;0.03;0.12;0.03;0.01;0.06;0.04;0.0;0.02;0.02;0.04;0.01;0.0;0.0;0.01;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;30.6;0.23;0.04;0.05;0.04;0.01;0.01;0.0;0.0;0.09;17.7;17.7;Found;0.0;0.0;0.0;0.0;0.0
Parabacteroides goldsteinii;2.59;0.96;0.2;0.13;0.09;0.11;0.07;0.06;0.03;0.02;0.02;0.0;0.0;0.88;1.1;0.12;0.11;0.02;0.01;0.06;0.01;0.03;0.01;0.73;80.8;24.5;18.5;2.91;1.65;0.19;0.36;0.52;0.09;0.06;0.07;0.12;0.09;0.11;0.06;0.01;0.01;0.02;0.01;0.02;0.01;0.03;0.0;0.0;0.0;0.0;0.02;0.03;0.0;0.01;0.0;0.0;0.0;31.4;0.38;0.04;0.08;0.04;0.04;0.01;0.01;0.0;0.16;15.2;15.2;Found;0.0;0.01;0.0;0.0;0.0
Akkermansia muciniphila;2.76;1.08;0.17;0.13;0.15;0.12;0.12;0.05;0.04;0.01;0.02;0.0;0.0;0.87;1.16;0.15;0.11;0.03;0.05;0.01;0.03;0.02;0.0;0.75;78.3;24.6;16.5;1.99;0.91;0.05;0.9;0.62;0.08;0.03;0.15;0.15;0.09;0.08;0.06;0.0;0.01;0.03;0.01;0.02;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.9;0.37;0.08;0.06;0.04;0.02;0.01;0.0;0.0;0.17;17.4;17.4;Found;0.0;0.01;0.0;0.0;0.0
Sphingobium yanoikuyae;15.9;1.26;2.31;1.2;0.75;0.9;1.79;0.2;0.18;0.11;0.27;0.07;0.02;6.84;14.6;0.5;1.7;1.41;0.59;0.09;0.21;0.23;0.29;9.51;23.9;12.0;0.82;0.1;0.55;0.34;0.53;0.24;0.07;0.17;0.02;0.03;0.49;0.04;0.07;1.15;0.04;0.07;0.15;0.03;0.03;0.0;0.0;0.01;0.02;0.0;0.0;0.02;0.03;0.0;0.01;0.01;0.02;6.89;4.34;1.07;0.55;0.03;0.13;0.13;0.06;0.05;2.32;41.3;41.3;Found;0.08;0.0;0.0;0.0;0.0
Sphingobium scionense;15.9;1.26;2.31;1.2;0.75;0.9;1.79;0.2;0.18;0.11;0.27;0.07;0.02;6.84;14.6;0.5;1.7;1.41;0.59;0.09;0.21;0.23;0.29;9.51;23.9;12.0;0.82;0.1;0.55;0.34;0.53;0.24;0.07;0.17;0.02;0.03;0.49;0.04;0.07;1.15;0.04;0.07;0.15;0.03;0.03;0.0;0.0;0.01;0.02;0.0;0.0;0.02;0.03;0.0;0.01;0.01;0.02;6.89;4.34;1.07;0.55;0.03;0.13;0.13;0.06;0.05;2.32;41.3;41.3;Found;0.08;0.0;0.0;0.0;0.0
Abiotrophia defectiva;2.15;0.32;0.18;0.16;0.17;0.12;0.14;0.04;0.02;0.01;0.03;0.05;0.0;0.91;1.59;0.33;0.14;0.22;0.05;0.01;0.01;0.06;0.0;0.77;61.5;41.9;0.9;0.16;0.55;0.4;0.38;0.3;0.07;0.17;0.03;0.42;0.16;0.06;0.02;0.15;0.01;0.05;0.06;0.12;0.04;0.0;0.01;0.01;0.04;0.0;0.01;0.0;0.01;0.0;0.02;0.0;0.0;15.4;0.67;0.08;0.09;0.05;0.02;0.02;0.04;0.0;0.36;34.1;34.1;Found;0.0;0.0;0.0;0.0;0.0
Phocaeicola dorei;2.89;1.55;0.15;0.29;0.08;0.06;0.06;0.03;0.02;0.01;0.02;0.0;0.01;0.61;0.46;0.09;0.06;0.02;0.01;0.0;0.01;0.01;0.0;0.25;80.7;45.0;2.75;1.1;0.32;0.34;0.58;0.3;0.04;0.01;0.03;0.01;0.04;0.02;0.05;0.04;0.0;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.19;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.14;15.8;15.8;Found;0.0;0.0;0.0;0.0;0.0
Haemophilus parainfluenzae;2.5;0.64;0.07;0.39;0.16;0.12;0.1;0.05;0.02;0.01;0.02;0.06;0.01;0.84;1.06;0.23;0.09;0.11;0.03;0.01;0.01;0.04;0.0;0.53;68.1;46.4;0.77;0.13;0.25;0.34;0.19;0.19;0.03;0.03;0.02;0.04;0.16;0.05;0.03;0.13;0.0;0.07;0.06;0.04;0.03;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.01;0.0;0.02;0.0;0.0;19.1;0.79;0.11;0.08;0.11;0.01;0.02;0.0;0.01;0.46;27.6;27.6;Found;0.0;0.0;0.0;0.0;0.0
Anaerotignum faecicola;1.57;0.8;0.08;0.08;0.03;0.07;0.02;0.02;0.01;0.01;0.01;0.0;0.0;0.44;0.49;0.08;0.1;0.02;0.02;0.0;0.01;0.0;0.0;0.27;82.2;44.2;1.82;0.64;1.18;0.16;0.6;0.84;0.22;0.01;0.15;1.32;0.04;0.1;0.06;0.01;0.02;0.01;0.01;0.11;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.7;0.25;0.01;0.05;0.01;0.01;0.01;0.0;0.0;0.16;15.5;15.5;Found;0.0;0.0;0.0;0.0;0.0
Phocaeicola sartorii;2.16;0.82;0.14;0.2;0.09;0.1;0.07;0.06;0.02;0.02;0.02;0.0;0.0;0.62;1.12;0.14;0.15;0.05;0.04;0.06;0.03;0.05;0.0;0.6;81.6;32.9;12.3;2.81;1.38;2.07;0.39;1.15;0.2;0.06;0.19;0.04;0.14;0.13;0.07;0.01;0.01;0.04;0.0;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.01;0.0;0.0;0.0;27.6;0.31;0.07;0.03;0.03;0.0;0.0;0.02;0.0;0.17;14.8;14.8;Found;0.0;0.0;0.0;0.0;0.0
Desulfovibrio piger;3.48;1.53;0.34;0.17;0.09;0.13;0.09;0.02;0.07;0.04;0.02;0.01;0.01;0.96;1.22;0.24;0.16;0.07;0.04;0.0;0.03;0.01;0.0;0.68;76.8;29.0;1.98;0.87;11.3;0.39;1.98;1.01;0.72;0.36;0.25;1.07;0.15;0.1;0.06;0.01;0.02;0.05;0.01;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.05;0.0;0.0;0.0;0.0;0.0;27.2;0.42;0.05;0.05;0.01;0.0;0.01;0.01;0.0;0.29;18.0;18.0;Found;0.0;0.0;0.0;0.0;0.0
Actinomyces graevenitzii;1.41;0.48;0.07;0.07;0.05;0.06;0.06;0.02;0.01;0.0;0.02;0.03;0.0;0.52;0.85;0.14;0.09;0.09;0.02;0.01;0.01;0.02;0.01;0.47;65.4;44.1;0.49;0.05;0.11;0.08;0.11;0.16;0.01;0.05;0.01;0.03;0.06;0.01;0.0;0.06;0.02;0.03;0.02;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.33;0.05;0.04;0.1;0.0;0.01;0.01;0.0;0.13;32.0;32.0;Found;0.0;0.0;0.0;0.0;0.0
Streptococcus mutans;2.55;1.1;0.13;0.11;0.1;0.09;0.09;0.07;0.03;0.0;0.02;0.05;0.01;0.74;0.93;0.28;0.09;0.09;0.04;0.01;0.01;0.02;0.01;0.39;66.0;38.7;1.08;0.38;0.58;0.16;0.13;0.31;0.02;0.1;0.03;0.2;0.1;0.01;0.01;0.03;0.02;0.02;0.02;0.15;0.05;0.0;0.01;0.01;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;23.9;0.44;0.05;0.08;0.04;0.02;0.02;0.01;0.0;0.23;30.1;30.1;Found;0.0;0.0;0.0;0.0;0.0
Aerococcus viridans;7.58;1.6;0.78;0.42;0.61;0.38;0.61;0.14;0.15;0.04;0.12;0.06;0.06;2.6;4.55;1.32;0.33;0.4;0.26;0.03;0.04;0.07;0.02;2.1;49.3;17.3;2.92;1.18;3.66;0.66;2.17;2.49;0.33;0.28;0.14;0.5;0.47;0.29;0.04;0.22;0.02;0.11;0.14;0.1;0.05;0.01;0.01;0.01;0.03;0.0;0.01;0.0;0.12;0.01;0.01;0.0;0.0;16.0;2.21;0.21;0.4;0.03;0.09;0.07;0.05;0.0;1.35;36.3;36.3;Found;0.0;0.0;0.0;0.0;0.0
Aerococcus urinaeequi;7.58;1.6;0.78;0.42;0.61;0.38;0.61;0.14;0.15;0.04;0.12;0.06;0.06;2.6;4.55;1.32;0.33;0.4;0.26;0.03;0.04;0.07;0.02;2.1;49.3;17.3;2.92;1.18;3.66;0.66;2.17;2.49;0.33;0.28;0.14;0.5;0.47;0.29;0.04;0.22;0.02;0.11;0.14;0.1;0.05;0.01;0.01;0.01;0.03;0.0;0.01;0.0;0.12;0.01;0.01;0.0;0.0;16.0;2.21;0.21;0.4;0.03;0.09;0.07;0.05;0.0;1.35;36.3;36.3;Found;0.0;0.0;0.0;0.0;0.0
Lautropia mirabilis;4.14;0.88;0.38;0.21;0.22;0.4;0.28;0.06;0.03;0.01;0.09;0.07;0.0;1.51;4.09;0.38;0.39;0.31;0.21;0.03;0.06;0.14;0.03;2.54;52.9;40.6;0.52;0.09;0.42;0.8;0.25;0.33;0.04;0.31;0.03;0.23;0.14;0.12;0.02;0.13;0.01;0.04;0.04;0.05;0.11;0.0;0.0;0.0;0.01;0.0;0.01;0.0;0.0;0.01;0.02;0.0;0.0;8.57;1.33;0.22;0.1;0.06;0.03;0.03;0.05;0.0;0.84;37.5;37.5;Found;0.0;0.0;0.0;0.0;0.0
Megamonas funiformis;7.47;2.85;0.95;0.21;0.26;0.27;0.36;0.15;0.09;0.06;0.04;0.01;0.01;2.21;1.82;0.39;0.15;0.12;0.04;0.05;0.05;0.03;0.0;0.99;69.5;26.8;2.08;0.31;1.65;5.55;3.03;0.59;0.04;0.7;0.07;0.05;0.12;0.05;0.07;0.03;0.01;0.04;0.02;0.02;0.0;0.01;0.0;0.0;0.01;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;28.2;0.57;0.09;0.09;0.01;0.01;0.02;0.01;0.0;0.35;20.6;20.6;Found;0.0;0.0;0.0;0.0;0.0
Methylorubrum populi;12.3;0.87;1.48;1.1;0.79;0.63;2.02;0.29;0.21;0.06;0.27;0.1;0.04;4.44;12.1;0.62;1.09;0.58;0.59;0.03;0.17;0.24;0.02;8.72;24.7;11.1;1.12;0.13;0.42;0.51;0.76;0.54;0.1;0.16;0.09;0.04;0.61;0.12;0.06;0.61;0.03;0.11;0.29;0.02;0.04;0.0;0.0;0.01;0.03;0.0;0.0;0.01;0.02;0.01;0.01;0.0;0.0;7.67;8.38;1.41;1.03;0.07;0.1;0.19;0.09;0.02;5.48;42.6;42.6;Found;0.01;0.0;0.0;0.0;0.0
Methylorubrum aminovorans;12.3;0.87;1.48;1.1;0.79;0.63;2.02;0.29;0.21;0.06;0.27;0.1;0.04;4.44;12.1;0.62;1.09;0.58;0.59;0.03;0.17;0.24;0.02;8.72;24.7;11.1;1.12;0.13;0.42;0.51;0.76;0.54;0.1;0.16;0.09;0.04;0.61;0.12;0.06;0.61;0.03;0.11;0.29;0.02;0.04;0.0;0.0;0.01;0.03;0.0;0.0;0.01;0.02;0.01;0.01;0.0;0.0;7.67;8.38;1.41;1.03;0.07;0.1;0.19;0.09;0.02;5.48;42.6;42.6;Found;0.01;0.0;0.0;0.0;0.0
Methylorubrum rhodesianum;12.3;0.87;1.48;1.1;0.79;0.63;2.02;0.29;0.21;0.06;0.27;0.1;0.04;4.44;12.1;0.62;1.09;0.58;0.59;0.03;0.17;0.24;0.02;8.72;24.7;11.1;1.12;0.13;0.42;0.51;0.76;0.54;0.1;0.16;0.09;0.04;0.61;0.12;0.06;0.61;0.03;0.11;0.29;0.02;0.04;0.0;0.0;0.01;0.03;0.0;0.0;0.01;0.02;0.01;0.01;0.0;0.0;7.67;8.38;1.41;1.03;0.07;0.1;0.19;0.09;0.02;5.48;42.6;42.6;Found;0.01;0.0;0.0;0.0;0.0
Methylorubrum zatmanii;12.3;0.87;1.48;1.1;0.79;0.63;2.02;0.29;0.21;0.06;0.27;0.1;0.04;4.44;12.1;0.62;1.09;0.58;0.59;0.03;0.17;0.24;0.02;8.72;24.7;11.1;1.12;0.13;0.42;0.51;0.76;0.54;0.1;0.16;0.09;0.04;0.61;0.12;0.06;0.61;0.03;0.11;0.29;0.02;0.04;0.0;0.0;0.01;0.03;0.0;0.0;0.01;0.02;0.01;0.01;0.0;0.0;7.67;8.38;1.41;1.03;0.07;0.1;0.19;0.09;0.02;5.48;42.6;42.6;Found;0.01;0.0;0.0;0.0;0.0
Methylorubrum extorquens;12.3;0.87;1.48;1.1;0.79;0.63;2.02;0.29;0.21;0.06;0.27;0.1;0.04;4.44;12.1;0.62;1.09;0.58;0.59;0.03;0.17;0.24;0.02;8.72;24.7;11.1;1.12;0.13;0.42;0.51;0.76;0.54;0.1;0.16;0.09;0.04;0.61;0.12;0.06;0.61;0.03;0.11;0.29;0.02;0.04;0.0;0.0;0.01;0.03;0.0;0.0;0.01;0.02;0.01;0.01;0.0;0.0;7.67;8.38;1.41;1.03;0.07;0.1;0.19;0.09;0.02;5.48;42.6;42.6;Found;0.01;0.0;0.0;0.0;0.0
Methylorubrum suomiense;12.3;0.87;1.48;1.1;0.79;0.63;2.02;0.29;0.21;0.06;0.27;0.1;0.04;4.44;12.1;0.62;1.09;0.58;0.59;0.03;0.17;0.24;0.02;8.72;24.7;11.1;1.12;0.13;0.42;0.51;0.76;0.54;0.1;0.16;0.09;0.04;0.61;0.12;0.06;0.61;0.03;0.11;0.29;0.02;0.04;0.0;0.0;0.01;0.03;0.0;0.0;0.01;0.02;0.01;0.01;0.0;0.0;7.67;8.38;1.41;1.03;0.07;0.1;0.19;0.09;0.02;5.48;42.6;42.6;Found;0.01;0.0;0.0;0.0;0.0
Methylorubrum thiocyanatum;12.3;0.87;1.48;1.1;0.79;0.63;2.02;0.29;0.21;0.06;0.27;0.1;0.04;4.44;12.1;0.62;1.09;0.58;0.59;0.03;0.17;0.24;0.02;8.72;24.7;11.1;1.12;0.13;0.42;0.51;0.76;0.54;0.1;0.16;0.09;0.04;0.61;0.12;0.06;0.61;0.03;0.11;0.29;0.02;0.04;0.0;0.0;0.01;0.03;0.0;0.0;0.01;0.02;0.01;0.01;0.0;0.0;7.67;8.38;1.41;1.03;0.07;0.1;0.19;0.09;0.02;5.48;42.6;42.6;Found;0.01;0.0;0.0;0.0;0.0
Lactobacillus iners;4.07;0.67;0.29;0.36;0.31;0.31;0.35;0.13;0.04;0.01;0.05;0.03;0.01;1.5;2.55;0.42;0.22;0.31;0.05;0.02;0.1;0.04;0.01;1.36;56.2;38.4;2.15;0.32;0.91;0.47;0.62;0.34;0.03;0.21;0.06;0.11;0.33;0.01;0.03;0.25;0.06;0.18;0.06;0.01;0.01;0.0;0.0;0.01;0.05;0.0;0.0;0.01;0.01;0.02;0.03;0.0;0.0;11.5;0.95;0.1;0.18;0.02;0.03;0.06;0.04;0.0;0.51;36.3;36.3;Found;0.01;0.0;0.0;0.0;0.0
Finegoldia magna;2.66;0.42;0.15;0.3;0.22;0.16;0.12;0.08;0.02;0.01;0.03;0.03;0.0;1.09;1.46;0.41;0.19;0.17;0.03;0.02;0.01;0.03;0.01;0.58;64.9;44.2;0.88;0.17;1.13;0.54;0.23;0.45;0.05;0.14;0.04;0.14;0.17;0.03;0.02;0.23;0.01;0.06;0.12;0.04;0.02;0.0;0.0;0.01;0.01;0.0;0.01;0.01;0.01;0.0;0.04;0.0;0.01;16.1;0.53;0.06;0.08;0.02;0.04;0.02;0.04;0.0;0.27;30.4;30.4;Found;0.0;0.0;0.0;0.0;0.0
Bacteroides salyersiae;2.48;1.29;0.13;0.2;0.04;0.07;0.07;0.01;0.12;0.01;0.02;0.0;0.0;0.52;0.46;0.11;0.06;0.01;0.01;0.04;0.0;0.0;0.0;0.22;83.0;45.6;3.09;0.82;0.74;1.16;0.44;0.59;0.06;0.09;0.06;0.06;0.03;0.02;0.04;0.01;0.01;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;30.2;0.18;0.01;0.03;0.03;0.0;0.0;0.0;0.0;0.11;13.8;13.8;Found;0.0;0.0;0.0;0.0;0.0
Hoylesella nanceiensis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Peptostreptococcus stomatis;1.23;0.26;0.05;0.07;0.08;0.07;0.07;0.03;0.01;0.0;0.02;0.05;0.0;0.52;1.08;0.24;0.09;0.19;0.03;0.0;0.01;0.01;0.0;0.51;63.4;42.0;0.55;0.16;1.17;0.65;0.18;0.38;0.3;0.21;0.08;0.35;0.11;0.09;0.01;0.08;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;16.9;0.4;0.06;0.04;0.08;0.01;0.01;0.01;0.0;0.19;33.9;33.9;Found;0.0;0.0;0.0;0.0;0.0
Clostridium fessum;1.56;1.11;0.05;0.09;0.03;0.02;0.01;0.01;0.0;0.01;0.01;0.0;0.0;0.22;0.3;0.07;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.13;83.8;53.6;1.08;0.13;0.6;0.11;0.36;0.29;0.03;0.08;0.02;0.76;0.01;0.01;0.04;0.01;0.01;0.0;0.0;0.13;0.0;0.0;0.01;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;26.5;0.06;0.0;0.01;0.02;0.01;0.0;0.0;0.0;0.02;14.3;14.3;Found;0.0;0.0;0.0;0.0;0.0
Thomasclavelia ramosa;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
